T a T y T i(Vdd)*Vdd
1.000000e-12 1.800000e+00 1.000000e-12 1.797162e+00 1.000000e-12 3.425166e-03 
1.064000e-12 1.800000e+00 1.064000e-12 1.797189e+00 1.064000e-12 1.991637e-03 
1.192000e-12 1.800000e+00 1.192000e-12 1.797188e+00 1.192000e-12 2.700107e-04 
1.448000e-12 1.800000e+00 1.448000e-12 1.797062e+00 1.448000e-12 -7.088511e-05 
1.960000e-12 1.800000e+00 1.960000e-12 1.796788e+00 1.960000e-12 2.899240e-05 
2.711275e-12 1.800000e+00 2.711275e-12 1.796392e+00 2.711275e-12 -3.095911e-05 
4.213825e-12 1.800000e+00 4.213825e-12 1.795596e+00 4.213825e-12 1.397980e-05 
7.218925e-12 1.800000e+00 7.218925e-12 1.794007e+00 7.218925e-12 -2.534995e-05 
1.322913e-11 1.800000e+00 1.322913e-11 1.790827e+00 1.322913e-11 1.155892e-05 
2.524953e-11 1.800000e+00 2.524953e-11 1.784474e+00 2.524953e-11 -2.419326e-05 
4.929033e-11 1.800000e+00 4.929033e-11 1.771789e+00 4.929033e-11 1.106842e-05 
9.737193e-11 1.800000e+00 9.737193e-11 1.746502e+00 9.737193e-11 -2.378464e-05 
1.935351e-10 1.800000e+00 1.935351e-10 1.696260e+00 1.935351e-10 1.117812e-05 
3.858616e-10 1.800000e+00 3.858616e-10 1.597115e+00 3.858616e-10 -2.325658e-05 
7.705144e-10 1.800000e+00 7.705144e-10 1.404318e+00 7.705144e-10 1.196228e-05 
1.539820e-09 1.800000e+00 1.539820e-09 1.043631e+00 1.539820e-09 -2.187528e-05 
2.539820e-09 1.800000e+00 2.539820e-09 6.464274e-01 2.539820e-09 1.383945e-05 
3.539820e-09 1.800000e+00 3.539820e-09 3.603376e-01 3.539820e-09 -1.997686e-05 
4.539820e-09 1.800000e+00 4.539820e-09 1.866646e-01 4.539820e-09 1.390696e-05 
5.539820e-09 1.800000e+00 5.539820e-09 9.439059e-02 5.539820e-09 -2.356751e-05 
6.539820e-09 1.800000e+00 6.539820e-09 4.974033e-02 6.539820e-09 8.343645e-06 
7.539820e-09 1.800000e+00 7.539820e-09 2.938182e-02 7.539820e-09 -2.801576e-05 
8.539820e-09 1.800000e+00 8.539820e-09 2.038776e-02 8.539820e-09 5.809253e-06 
9.539820e-09 1.800000e+00 9.539820e-09 1.647494e-02 9.539820e-09 -2.923789e-05 
1.053982e-08 1.800000e+00 1.053982e-08 1.478336e-02 1.053982e-08 5.242592e-06 
1.153982e-08 1.800000e+00 1.153982e-08 1.405976e-02 1.153982e-08 -2.948553e-05 
1.253982e-08 1.800000e+00 1.253982e-08 1.374787e-02 1.253982e-08 5.127806e-06 
1.353982e-08 1.800000e+00 1.353982e-08 1.361516e-02 1.353982e-08 -2.952407e-05 
1.453982e-08 1.800000e+00 1.453982e-08 1.355704e-02 1.453982e-08 5.100043e-06 
1.553982e-08 1.800000e+00 1.553982e-08 1.353318e-02 1.553982e-08 -2.952449e-05 
1.653982e-08 1.800000e+00 1.653982e-08 1.352184e-02 1.653982e-08 5.088245e-06 
1.753982e-08 1.800000e+00 1.753982e-08 1.351806e-02 1.753982e-08 -2.951789e-05 
1.853982e-08 1.800000e+00 1.853982e-08 1.351535e-02 1.853982e-08 5.079394e-06 
1.953982e-08 1.800000e+00 1.953982e-08 1.351527e-02 1.953982e-08 -2.951000e-05 
